GENEID,TXNAME
K562_RS01765,K562_RS01765
K562_RS01770,K562_RS01770
K562_RS01775,K562_RS01775
K562_RS01780,K562_RS01780
K562_RS01785,K562_RS01785
K562_RS01790,K562_RS01790
K562_RS01795,K562_RS01795
K562_RS01800,K562_RS01800
K562_RS01805,K562_RS01805
K562_RS01810,K562_RS01810
K562_RS01815,K562_RS01815
K562_RS01820,K562_RS01820
K562_RS01825,K562_RS01825
K562_RS01830,K562_RS01830
K562_RS01835,K562_RS01835
K562_RS01840,K562_RS01840
K562_RS01845,K562_RS01845
K562_RS01850,K562_RS01850
K562_RS01855,K562_RS01855
K562_RS01860,K562_RS01860
K562_RS01865,K562_RS01865
K562_RS01870,K562_RS01870
K562_RS01875,K562_RS01875
K562_RS01880,K562_RS01880
K562_RS01885,K562_RS01885
K562_RS01890,K562_RS01890
K562_RS01895,K562_RS01895
K562_RS01900,K562_RS01900
K562_RS01905,K562_RS01905
K562_RS01910,K562_RS01910
K562_RS01915,K562_RS01915
K562_RS01920,K562_RS01920
K562_RS01925,K562_RS01925
K562_RS01930,K562_RS01930
K562_RS01935,K562_RS01935
K562_RS01940,K562_RS01940
K562_RS01945,K562_RS01945
K562_RS01950,K562_RS01950
K562_RS01955,K562_RS01955
K562_RS01960,K562_RS01960
K562_RS01965,K562_RS01965
K562_RS01970,K562_RS01970
K562_RS01975,K562_RS01975
K562_RS01980,K562_RS01980
K562_RS01985,K562_RS01985
K562_RS01990,K562_RS01990
K562_RS01995,K562_RS01995
K562_RS02000,K562_RS02000
K562_RS02005,K562_RS02005
K562_RS02010,K562_RS02010
K562_RS02015,K562_RS02015
K562_RS02020,K562_RS02020
K562_RS02025,K562_RS02025
K562_RS02030,K562_RS02030
K562_RS02035,K562_RS02035
K562_RS02040,K562_RS02040
K562_RS02045,K562_RS02045
K562_RS02050,K562_RS02050
K562_RS02055,K562_RS02055
K562_RS02060,K562_RS02060
K562_RS02065,K562_RS02065
K562_RS02070,K562_RS02070
K562_RS02075,K562_RS02075
K562_RS02080,K562_RS02080
K562_RS02085,K562_RS02085
K562_RS35370,K562_RS35370
K562_RS02090,K562_RS02090
K562_RS02095,K562_RS02095
K562_RS02100,K562_RS02100
K562_RS02105,K562_RS02105
K562_RS02110,K562_RS02110
K562_RS02115,K562_RS02115
K562_RS02120,K562_RS02120
K562_RS02150,K562_RS02150
K562_RS02155,K562_RS02155
K562_RS02160,K562_RS02160
K562_RS02165,K562_RS02165
K562_RS02170,K562_RS02170
K562_RS02175,K562_RS02175
K562_RS02180,K562_RS02180
K562_RS02185,K562_RS02185
